id,activity_type,transaction_time,type,price,qty,side,symbol,leaves_qty,order_id,cum_qty,order_status,activity_sub_type,date,created_at,net_amount,description,status,execution_id,currency,cusip,group_id
20260626154929502::6d478a39-4c01-4763-96a4-755914632b88,FILL,2026-06-26T19:49:29.502294Z,fill,2.07,1,sell,KO260717C00081000,0,e7a57604-c316-400b-a1da-989a110d5dd7,2,filled,,,,,,,,,,
20260626154929380::5cc44382-e2d4-4217-bbe2-533a6ad7a13e,FILL,2026-06-26T19:49:29.380305Z,partial_fill,2.07,1,sell,KO260717C00081000,1,e7a57604-c316-400b-a1da-989a110d5dd7,1,partially_filled,,,,,,,,,,
20260626154241015::66519f65-f7bc-40ef-930a-4e9a4653542e,FILL,2026-06-26T19:42:41.01533Z,fill,1.5,2,sell,KO260717C00082500,0,a6c634b9-7887-448d-83db-438538252395,2,filled,,,,,,,,,,
20260626152847951::6b5e825b-c675-4cb3-8840-aa40c0b9fdd4,FILL,2026-06-26T19:28:47.951589Z,fill,1.75,1,sell,MMM260710C00167500,0,b0ef69f0-26a3-4c91-ab76-fe5c458af816,1,filled,,,,,,,,,,
20260626152813453::49d0152c-e9ff-44db-8bea-fb0bb601d2ea,FILL,2026-06-26T19:28:13.453213Z,fill,2.77,1,sell,COP260717P00105000,0,4e643d17-075e-4e70-84ab-4fa7ffe0b953,1,filled,,,,,,,,,,
20260626150232902::502726dc-a081-4790-b52e-2beaa84e0130,FILL,2026-06-26T19:02:32.902519Z,fill,4.9,1,buy,V260710C00340000,0,e53fa8a6-ce47-46c9-a9e9-f6dd0cdabcb9,1,filled,,,,,,,,,,
20260626145212506::cdc6b916-00d9-4dcb-9beb-3f53ff6506ac,FILL,2026-06-26T18:52:12.506181Z,fill,1.3,1,sell,C260717C00150000,0,fef4dfd8-d8a2-4f23-b4b9-6a346be7410e,1,filled,,,,,,,,,,
20260626143137053::9bb13c15-a738-444e-9a98-ad3fbc98a4be,FILL,2026-06-26T18:31:37.053878Z,fill,0.62,2,buy,F260717C00014000,0,4ad3266a-d3f1-4403-91df-8770e8094196,2,filled,,,,,,,,,,
20260626141456045::c41b57b0-2254-46fc-a2b0-db9bf0160a9a,FILL,2026-06-26T18:14:56.045204Z,fill,0.96,3,buy,RIVN260717C00015500,0,5917aa18-eb27-4372-95b5-dd1a61bb0c5b,3,filled,,,,,,,,,,
20260626140435058::ca1ff750-b3b2-4958-807f-81c619930c97,FILL,2026-06-26T18:04:35.058315Z,fill,0.95,1,sell,RIVN260717C00015500,0,1e4d699a-8919-49d5-ac7b-65483e579541,1,filled,,,,,,,,,,
20260626134334279::092a9777-c9d9-4eb5-923a-4e8fc39de5b5,FILL,2026-06-26T17:43:34.279632Z,fill,4.8,1,buy,HD260710C00355000,0,197b33d3-8a4f-401b-93c4-5e009250eeb6,1,filled,,,,,,,,,,
20260626134304253::21415be9-654f-48e1-8d23-fcddd0a25d6b,FILL,2026-06-26T17:43:04.25381Z,fill,3.1,1,buy,UBER260717C00075000,0,6c4a6665-258f-463c-8790-77a9abd3cd91,1,filled,,,,,,,,,,
20260626133208845::40def964-2526-49e0-87a7-be969e88a73b,FILL,2026-06-26T17:32:08.845556Z,fill,5.25,1,sell,OKTA260710C00123000,0,fe7e4876-1308-4366-8b4c-1a4733a4a21c,1,filled,,,,,,,,,,
