asset_id,symbol,exchange,asset_class,asset_marginable,qty,qty_available,avg_entry_price,side,market_value,cost_basis,unrealized_pl,unrealized_plpc,unrealized_intraday_pl,unrealized_intraday_plpc,current_price,lastday_price,change_today
4772dec6-f20b-4c96-94df-f0088ead7ecd,AAPL260710P00270000,,us_option,True,1,1,4.3,long,150,430,-280,-0.65116,-278,-0.64953,1.5,4.28,-0.64953
64415bbb-8adc-405a-927a-8881b809c1fa,AAPL260710P00275000,,us_option,True,1,1,5.15,long,235,515,-280,-0.54369,-280,-0.54369,2.35,5.98,-0.60702
ba680b83-2f68-4bbc-bb74-700c3e60a736,ABT260717C00095000,,us_option,True,1,1,2.95,long,215,295,-80,-0.27119,-80,-0.27119,2.15,2.23,-0.03587
e50201ab-f2be-42a9-b8c0-256e1ec15643,ADBE260710P00190000,,us_option,True,1,1,4.15,long,137,415,-278,-0.66988,-243,-0.63947,1.37,3.8,-0.63947
cb60c8b6-0fca-46e2-a48b-42b769679901,ADBE260710P00192500,,us_option,True,1,1,4.95,long,179,495,-316,-0.63838,-271,-0.60222,1.79,4.5,-0.60222
2124554c-8f7a-42c8-9e96-e9b1eca686dd,AMZN260710P00222500,,us_option,True,1,1,4.05,long,208,405,-197,-0.48642,-211,-0.50358,2.08,4.19,-0.50358
fdd42ab1-ce3e-4402-9d40-5c0e4392d0bb,AMZN260710P00225000,,us_option,True,1,1,4.75,long,276,475,-199,-0.41895,-274,-0.49818,2.76,5.5,-0.49818
09e1a2a7-f8ee-4c7b-aced-8f22467a215e,BA260710P00215000,,us_option,True,1,1,4.35,long,380,435,-55,-0.12644,-60,-0.13636,3.8,4.4,-0.13636
6bdcc7e8-4c82-4c78-a936-529eec39d7ce,BA260717C00230000,,us_option,True,1,1,4.45,long,189,445,-256,-0.57528,-82,-0.30258,1.89,2.71,-0.30258
b6e0feec-3b43-4869-a941-8446b8bdde57,BAC260710C00058000,,us_option,True,2,2,1.09,long,160,218,-58,-0.26606,-68,-0.29825,0.8,1.14,-0.29825
08c4a0b3-b9f6-4905-8b1e-b03d4702a23c,BAC260717C00059000,,us_option,True,2,2,1.37,long,192,274,-82,-0.29927,-48,-0.2,0.96,1.2,-0.2
953f6eb0-30c8-4e44-ab74-26e72541bda4,C260717C00147000,,us_option,True,1,1,4.8,long,213,480,-267,-0.55625,-179,-0.45663,2.13,3.92,-0.45663
d0da06c1-8b85-4103-8f35-27a68bd04d84,CARR260717C00075000,,us_option,True,1,1,3.9,long,155,390,-235,-0.60256,-235,-0.60256,1.55,3.9,-0.60256
708a38a6-e979-46ac-ab5c-a564d0eb187c,CARR260717C00077500,,us_option,True,1,1,2.65,long,55,265,-210,-0.79245,-160,-0.74419,0.55,2.15,-0.74419
497be55f-32b1-4b80-818d-2e3ccd2f701f,COP260710P00107000,,us_option,True,1,1,3.05,long,265,305,-40,-0.13115,-11,-0.03986,2.65,2.76,-0.03986
d1309536-7d29-4b24-a6f7-cd899eec24ea,CRM260710P00150000,,us_option,True,1,1,4.95,long,179,495,-316,-0.63838,-301,-0.62708,1.79,4.8,-0.62708
727aefb1-bc5d-4e0f-962d-58be8b752551,CRM260717P00149000,,us_option,True,1,1,4.9,long,239,490,-251,-0.51224,-245,-0.5062,2.39,4.84,-0.5062
b280e9bc-32af-4975-be3f-569160a1bec1,CSCO260717P00115000,,us_option,True,1,1,3.75,long,445,375,70,0.18667,70,0.18667,4.45,2.55,0.7451
428a550b-f474-4419-8824-edc4188597c5,CSCO260717P00116000,,us_option,True,1,1,4.45,long,495,445,50,0.11236,50,0.11236,4.95,2.9,0.7069
a9993d3c-1f80-4000-9536-dd0dabb8cc8b,CVS260717C00105000,,us_option,True,1,1,3.2,long,232,320,-88,-0.275,-88,-0.275,2.32,2.9,-0.2
2a12d886-fb67-43af-9350-7f967c7434fc,CVX260710P00172500,,us_option,True,1,1,3.8,long,390,380,10,0.02632,65,0.2,3.9,3.25,0.2
4166b81b-ce5f-4b1b-85a0-5019167db779,CVX260717P00170000,,us_option,True,1,1,3.6,long,340,360,-20,-0.05556,29,0.09325,3.4,3.11,0.09325
84a27274-4d57-48f2-be7b-ed4e9d1e5fe3,DIA260710C00522000,,us_option,True,1,1,4.95,long,375,495,-120,-0.24242,-120,-0.24242,3.75,5.35,-0.29907
f150f339-da8d-4315-94a2-761c0e8e5db8,DIA260710C00524000,,us_option,True,1,1,4.8,long,300,480,-180,-0.375,-140,-0.31818,3,4.4,-0.31818
408b401c-e9a4-4f70-a372-93499db20e26,DIS260717P00100000,,us_option,True,1,1,3.55,long,283,355,-72,-0.20282,-72,-0.20282,2.83,3.6,-0.21389
9f112084-2b15-4644-a86c-24fb54810812,ENB260717C00052500,,us_option,True,1,1,4,long,350,400,-50,-0.125,-50,-0.125,3.5,4.4,-0.20455
70a8aaed-6519-4cee-843e-d78034ea9e1f,ESTC260717P00055000,,us_option,True,1,1,4,long,180,400,-220,-0.55,-220,-0.55,1.8,4,-0.55
df0bc0f3-0478-403f-ad27-83c87112cb10,F260717C00014000,,us_option,True,2,2,0.62,long,110,124,-14,-0.1129,-14,-0.1129,0.55,0.62,-0.1129
79f17375-8025-42c4-bfda-3bf36738d30d,F260717C00014500,,us_option,True,2,2,0.46,long,68,92,-24,-0.26087,-10,-0.12821,0.34,0.39,-0.12821
