submitted_at,filled_at,canceled_at,symbol,asset_class,side,order_type,qty,filled_qty,filled_avg_price,limit_price,stop_price,status,id
2026-06-17 14:29:45.023916+00:00,2026-06-17 14:29:45.098757+00:00,,IONQ260717P00060000,us_option,buy,market,3,3,8.15,,,filled,2613a52b-b9f4-46df-a08a-59c23542f0a9
2026-06-17 14:29:19.226543+00:00,2026-06-17 14:29:19.330926+00:00,,NVDA260717P00210000,us_option,buy,market,2,2,9.1,,,filled,49a6c67d-618d-4391-bbdb-84a8733d5bb4
2026-06-17 14:28:54.292641+00:00,2026-06-17 14:28:54.476356+00:00,,MO260717P00070000,us_option,buy,market,3,3,2.31,,,filled,1a2cbcd2-22ef-46b7-9507-6892ddd8da8f
2026-06-17 14:28:29.767462+00:00,2026-06-17 14:28:29.854080+00:00,,MSFT260717P00395000,us_option,buy,market,1,1,16.7,,,filled,7d7d16c5-07d1-4cee-b741-d302aec21774
2026-06-17 14:27:18.083132+00:00,2026-06-17 14:27:18.176784+00:00,,COP260717P00110000,us_option,buy,market,3,3,3.6,,,filled,60d50695-43f2-4732-ab10-704a70c769ba
2026-06-17 14:26:54.317706+00:00,2026-06-17 14:26:54.364481+00:00,,ZM260717P00090000,us_option,buy,market,3,3,4.25,,,filled,d78a56b5-3e15-4e17-9d59-aae4296ead03
2026-06-17 14:26:32.201428+00:00,2026-06-17 14:26:32.219981+00:00,,MRK260717P00115000,us_option,buy,market,2,2,3.6,,,filled,c33bf3e9-e77c-48d5-be55-c723d9a0563f
2026-06-17 14:25:20.027368+00:00,2026-06-17 14:25:20.100630+00:00,,KO260717P00080000,us_option,buy,market,3,3,1.95,,,filled,10932fe9-0160-488b-a53d-37ac97d2f2cc
2026-06-17 14:24:33.729239+00:00,2026-06-17 14:24:33.755663+00:00,,F260717P00015000,us_option,buy,market,3,3,1.06,,,filled,f9029544-cb26-43f4-b111-e029f36af14b
2026-06-17 14:24:10.808586+00:00,2026-06-17 14:24:10.921804+00:00,,CSCO260717P00120000,us_option,buy,market,3,3,5.9,,,filled,977e283c-1adb-4595-9eac-25a37d3431e5
2026-06-17 14:23:47.939074+00:00,2026-06-17 14:23:47.958797+00:00,,SNOW260717P00240000,us_option,buy,market,1,1,16.55,,,filled,4a0b9b1f-80c3-4cec-820b-2f9ddb13f98b
2026-06-17 14:23:03.835310+00:00,2026-06-17 14:23:03.887973+00:00,,CRM260717P00160000,us_option,buy,market,3,3,6.95,,,filled,467e8521-9cff-4e63-8652-c7ecdbfbd18c
2026-06-17 14:21:58.564391+00:00,2026-06-17 14:21:58.639865+00:00,,TSLA260717P00405000,us_option,buy,market,1,1,20.8,,,filled,445aa325-0d64-454e-84ae-82592a085d9e
2026-06-17 14:21:15.829017+00:00,2026-06-17 14:21:15.936699+00:00,,XLE260717P00055000,us_option,buy,market,3,3,1.7,,,filled,81cb615b-0ccd-4ed0-be8a-ea2135adff6b
2026-06-17 14:19:51.106247+00:00,2026-06-17 14:19:51.123643+00:00,,CVX260717P00180000,us_option,buy,market,3,3,5.75,,,filled,1d0f7d86-fa0f-497c-9ad4-7eec5a3607ab
2026-06-17 14:19:30.012110+00:00,2026-06-17 14:19:30.051922+00:00,,TLT260717C00080000,us_option,buy,market,1,1,6.5,,,filled,a08dea4b-a9c3-476b-9d0f-bfb829d89ebd
2026-06-17 14:19:09.236761+00:00,2026-06-17 14:19:09.331971+00:00,,GE260717C00360000,us_option,buy,market,1,1,15.7,,,filled,141f8a7d-4993-4f4b-afd5-e49ed6577f28
2026-06-17 14:18:48.887166+00:00,2026-06-17 14:18:48.927853+00:00,,AVGO260717C00400000,us_option,buy,market,1,1,18.9,,,filled,4138be00-f2e4-4edc-8754-cb275621e6a5
2026-06-17 14:18:29.208738+00:00,2026-06-17 14:18:29.281285+00:00,,PLTR260717C00130000,us_option,buy,market,2,2,10.55,,,filled,a5567190-6577-4ea1-ab0b-83e30125e10f
2026-06-17 13:34:36.215650+00:00,2026-06-17 13:34:36.228747+00:00,,SNOW260717C00250000,us_option,sell,market,1,1,9,,,filled,a9df439c-89c2-46b4-98bc-49c510f4fcff
2026-06-17 13:34:26.727443+00:00,2026-06-17 13:34:26.813144+00:00,,NET260717C00250000,us_option,sell,market,2,2,6.8,,,filled,40ba2bf0-c2ff-4e0e-8715-454aa4372406
2026-06-16 17:02:04.494477+00:00,2026-06-16 17:02:04.536469+00:00,,NEE260717C00087500,us_option,sell,market,1,1,1.86,,,filled,a49dc1c7-5d80-4d8c-a1b9-4d8e2db32638
2026-06-16 15:58:12.026821+00:00,2026-06-16 15:58:12.077849+00:00,,TLT260717C00084000,us_option,buy,market,2,2,2.6,,,filled,5c563090-5399-44f1-98a6-b887e6a253c5
2026-06-16 15:13:26.571198+00:00,2026-06-16 15:13:26.624248+00:00,,PEP260717C00145000,us_option,sell,market,1,1,5.1,,,filled,e2095e66-eecc-4b76-871e-6441a453c8f9
2026-06-16 15:00:36.227511+00:00,2026-06-16 15:00:36.247980+00:00,,ESTC260717P00060000,us_option,buy,market,2,2,4.2,,,filled,a671234f-7d9a-4371-8139-ea2c042a330e
2026-06-16 14:59:19.203012+00:00,2026-06-16 14:59:19.292663+00:00,,WBD260717C00027000,us_option,sell,market,1,1,0.8,,,filled,b7f7277e-737a-4f6d-a140-834101450d3c
2026-06-16 14:38:37.028285+00:00,2026-06-16 14:38:37.087468+00:00,,SMH260710C00662500,us_option,buy,market,1,1,23.9,,,filled,c39c6af0-5a47-4780-841e-fad7d2491a77
2026-06-16 14:38:18.638479+00:00,2026-06-16 14:38:18.657944+00:00,,XLF260717C00050000,us_option,buy,market,3,3,4.3,,,filled,2a8e187d-8fc0-4b1d-9034-b0ef435a871f
2026-06-16 14:37:59.763543+00:00,2026-06-16 14:37:59.827783+00:00,,META260717C00600000,us_option,buy,market,1,1,21.25,,,filled,17a5b1d2-4c01-44f3-9b06-c99a5efb9949
2026-06-16 14:36:09.231723+00:00,2026-06-16 14:36:09.343840+00:00,,ESTC260717C00065000,us_option,sell,market,2,2,2,,,filled,a9e8d3fa-7c9a-43a4-af85-3fb132b457ea
2026-06-16 14:35:42.321327+00:00,2026-06-16 14:35:42.342677+00:00,,META260717C00620000,us_option,sell,market,1,1,13.5,,,filled,f449c9d5-3ab8-4c0f-8020-0b4c7b2c0b04
2026-06-16 14:35:37.029761+00:00,2026-06-16 14:35:37.136947+00:00,,SMH260717C00640000,us_option,sell,market,1,1,35.7,,,filled,b1421f07-55b2-411c-ac81-c2f282e83531
2026-06-16 13:56:31.398922+00:00,2026-06-16 13:56:31.435290+00:00,,JNJ260717P00230000,us_option,buy,market,2,2,5.7,,,filled,8a11e0d8-c41f-4512-b3f3-a56952eabdc8
2026-06-16 13:56:13.448922+00:00,2026-06-16 13:56:13.537235+00:00,,SNOW260717C00250000,us_option,buy,market,1,1,15.5,,,filled,1925ad55-ba7f-4a89-ae3b-da021553014a
2026-06-16 13:55:54.550036+00:00,2026-06-16 13:55:54.631128+00:00,,NKE260717C00047500,us_option,buy,market,2,2,2.2,,,filled,89262d4c-de92-4e6b-9e86-580270f2b463
