symbol,asset_class,side,qty,avg_entry_price,current_price,market_value,cost_basis,unrealized_pl,unrealized_plpc
AAPL260821C00325000,us_option,long,2,4.2,4.3,860,840,20,0.02381
ADBE260717P00200000,us_option,long,2,5.5,6.95,1390,1100,290,0.26364
AMZN,us_equity,long,3,263.566667,242.12,726.36,790.700001,-64.340001,-0.08137
AVGO260717C00400000,us_option,long,1,18.9,20.4,2040,1890,150,0.07937
AVGO260717P00410000,us_option,long,1,38.7,27.35,2735,3870,-1135,-0.29328
BA260717C00230000,us_option,long,2,8.95,7.3,1460,1790,-330,-0.18436
BAC260717C00055000,us_option,long,2,2.6,3.55,710,520,190,0.36538
C260717C00120000,us_option,long,2,19.5,26.25,5250,3900,1350,0.34615
CARR,us_equity,long,1,66.41,71.595,71.595,66.41,5.185,0.07808
COIN260710C00170000,us_option,long,1,14.65,10.85,1085,1465,-380,-0.25939
COP260717P00110000,us_option,long,3,3.6,3.35,1005,1080,-75,-0.06944
COST260717C00930000,us_option,long,1,69.8,55.1,5510,6980,-1470,-0.2106
CRM260717P00160000,us_option,long,3,6.95,6.95,2085,2085,0,0
CRWD260724C00555000,us_option,long,1,134.45,133.95,13395,13445,-50,-0.00372
CSCO260717P00120000,us_option,long,3,5.9,5.4,1620,1770,-150,-0.08475
CVX260717P00180000,us_option,long,3,5.75,5.45,1635,1725,-90,-0.05217
CVX260717P00190000,us_option,long,2,11.2,11.65,2330,2240,90,0.04018
DDOG260717C00230000,us_option,long,2,20.35,15.75,3150,4070,-920,-0.22604
DIA260710C00516000,us_option,long,2,9.45,11.85,2370,1890,480,0.25397
DIS260717C00105000,us_option,long,1,1.49,1.42,142,149,-7,-0.04698
ESTC260717P00060000,us_option,long,2,4.2,3.4,680,840,-160,-0.19048
F260717P00014000,us_option,long,3,0.6,0.45,135,180,-45,-0.25
F260717P00015000,us_option,long,3,1.06,0.99,297,318,-21,-0.06604
GE260717C00340000,us_option,long,1,19.4,25.4,2540,1940,600,0.30928
GE260717C00360000,us_option,long,1,15.7,14.9,1490,1570,-80,-0.05096
GM260717P00080000,us_option,long,3,4.05,1.9,570,1215,-645,-0.53086
GOOGL260717C00375000,us_option,long,1,12.35,9.85,985,1235,-250,-0.20243
IBM260717P00260000,us_option,long,2,8.6,8.4,1680,1720,-40,-0.02326
INTC260717C00130000,us_option,long,1,12.25,8.35,835,1225,-390,-0.31837
INTU260821P00310000,us_option,long,3,50.3,41.3,12390,15090,-2700,-0.17893
IONQ,us_equity,long,1,46.09,56.1397,56.1397,46.09,10.0497,0.21805
IONQ260717P00060000,us_option,long,3,8.15,7.95,2385,2445,-60,-0.02454
IWM260710C00310000,us_option,long,2,1.72,1.19,238,344,-106,-0.30814
JNJ260717P00230000,us_option,long,2,5.7,5.1,1020,1140,-120,-0.10526
JPM260717C00315000,us_option,long,2,12.65,23.95,4790,2530,2260,0.89328
KO260717P00080000,us_option,long,3,1.95,1.76,528,585,-57,-0.09744
LLY260717P01080000,us_option,long,1,22.1,22.9,2290,2210,80,0.0362
LYFT260821P00013000,us_option,long,3,1.25,0.79,237,375,-138,-0.368
META260717C00600000,us_option,long,1,21.25,16.5,1650,2125,-475,-0.22353
MMM260717C00160000,us_option,long,2,5.6,7.45,1490,1120,370,0.33036
MO260717P00070000,us_option,long,3,2.31,2.17,651,693,-42,-0.06061
MRK260717C00110000,us_option,long,2,13.3,6.25,1250,2660,-1410,-0.53008
MRK260717P00115000,us_option,long,2,3.6,3.35,670,720,-50,-0.06944
MSFT,us_equity,long,2,414.22,387.44,774.88,828.44,-53.56,-0.06465
MSFT260717P00395000,us_option,long,1,16.7,16.2,1620,1670,-50,-0.02994
NFLX260717P00090000,us_option,long,2,11.5,12.65,2530,2300,230,0.1
NKE260717C00047500,us_option,long,2,2.2,1.87,374,440,-66,-0.15
NVDA260717P00210000,us_option,long,2,9.1,9.1,1820,1820,0,0
NVDA260821C00250000,us_option,long,1,4.9,2.68,268,490,-222,-0.45306
OKTA260717P00115000,us_option,long,3,7.65,6.3,1890,2295,-405,-0.17647
ORCL260717P00190000,us_option,long,1,10.35,11.5,1150,1035,115,0.11111
OXY260717P00055000,us_option,long,2,2.39,2.77,554,478,76,0.159
PLTR260717C00130000,us_option,long,2,10.55,9.6,1920,2110,-190,-0.09005
PLTR260717P00125000,us_option,long,3,6.15,3.05,915,1845,-930,-0.50407
QQQ260710C00745000,us_option,long,1,16.62,12.79,1279,1662,-383,-0.23045
RIVN260717P00015000,us_option,long,3,1.115,0.55,165,334.5,-169.5,-0.50673
RTX,us_equity,long,3,174.793333,190.125,570.375,524.379999,45.995001,0.08771
RTX260821C00200000,us_option,long,2,3.6,5.1,1020,720,300,0.41667
SAP260717P00160000,us_option,long,2,5.1,5.1,1020,1020,0,0
SCHW260717C00092500,us_option,long,2,3.25,3.2,640,650,-10,-0.01538
SMH260710C00662500,us_option,long,1,23.9,20.75,2075,2390,-315,-0.1318
SNOW260717P00240000,us_option,long,1,16.55,16.3,1630,1655,-25,-0.01511
SO260717C00080000,us_option,long,1,15.2,12.7,1270,1520,-250,-0.16447
SOFI260717P00016000,us_option,long,2,1.146,0.32,64,229.2,-165.2,-0.72077
SPG260717C00190000,us_option,long,1,28.3,24.2,2420,2830,-410,-0.14488
SPY260710C00736000,us_option,long,1,23.85,21.26,2126,2385,-259,-0.1086
TGT260717C00125000,us_option,long,2,12,8.8,1760,2400,-640,-0.26667
TLT260717C00080000,us_option,long,1,6.5,6.45,645,650,-5,-0.00769
TLT260717C00084000,us_option,long,2,2.6,2.57,514,520,-6,-0.01154
TSLA260717C00370000,us_option,long,1,41.95,38.9,3890,4195,-305,-0.07271
TSLA260717P00405000,us_option,long,1,20.8,20.2,2020,2080,-60,-0.02885
TXN260717C00320000,us_option,long,1,15.15,11.9,1190,1515,-325,-0.21452
UBER260717C00075000,us_option,long,2,2.35,1.87,374,470,-96,-0.20426
WFC260717C00085000,us_option,long,1,2.71,4.05,405,271,134,0.49446
WMT260717C00125000,us_option,long,2,2.433333,1.52,304,486.6666,-182.6666,-0.37534
XLE260717P00055000,us_option,long,3,1.7,1.55,465,510,-45,-0.08824
XLE260717P00057000,us_option,long,2,2.46,2.84,568,492,76,0.15447
XLF260717C00050000,us_option,long,3,4.3,4.8,1440,1290,150,0.11628
XLK260717C00170000,us_option,long,1,23.15,20.05,2005,2315,-310,-0.13391
XOM260717P00155000,us_option,long,1,14.9,14.2,1420,1490,-70,-0.04698
ZM260717P00090000,us_option,long,3,4.25,3.9,1170,1275,-105,-0.08235
ZM260717P00105000,us_option,long,3,14.25,14.2,4260,4275,-15,-0.00351
ZS260821P00135000,us_option,long,3,21.2,16,4800,6360,-1560,-0.24528
